iter	Logloss
0	0.6899541728
1	0.6883195496
2	0.686042531333	0.68364156094	0.6811212158
5	0.6791201782
6	0.6765934245
7	0.6744944255
88	0.673693288299	0.6715482585
10	0.6690684001
11	0.6667553202
12	0.665040741
13	0.6627261353
114	0.661272977115	0.658398641
1616	0.65587636317	0.6528847249
18	0.6512613424
1919	0.6503179932
20	0.6478825887
21	0.6457961019
22	0.6441955058
23	0.6425917562
24	0.6405820211
25	0.6389593506
26	0.6373881022
27	0.634807841
28	0.6337038167
29	0.6320058187
30	0.6299408976
31	0.6284132894
32	0.6265625509
33	0.6248926799
34	0.6230319722
35	0.6214933777
36	0.6198641968
37	0.618086853
38	0.6166779582
39	0.6152941895
40	0.6134846497
41	0.6117453512
42	0.6106428019
43	0.608974244	044	0.607656445	0.6034298706
46	0.6016422526
47	0.5998956299
48	0.5979211934
49	0.5964802043
50	0.5954059347
51	51	0.5960767652	52	0.5946338953	53	0.5930484054	54	0.5909831255	55	0.5893834456	56	0.5876526896
57	0.5865930176
58	0.5845104472
59	0.5831278992
60	0.581546936
61	0.579618632
62	0.5775860596
63	0.575982666
64	0.5745755005
65	0.5731362915
66	0.5718007406
67	0.5702790833
68	0.5687144979
69	0.5678687541
70	0.566518453
71	0.5655933634
72	0.5646257528
73	0.5635478719
74	0.5621984863
75	0.5605927531
76	0.5591334534
77	0.5574419149
78	0.5561755371
79	0.5546039327
80	0.5533050537
81	0.5518932088
82	0.550122172
83	0.549004008
84	0.5478896077
85	0.5470010885
86	0.5458268229
87	0.5443112183
88	0.543383077
89	0.5420803833
90	0.5409045919
91	0.5396442668
92	0.538363444
93	0.5373249308
94	0.5361819967
95	0.5351767985
96	0.5337110392
97	0.5326360067
98	0.5314720662
99	0.5302696737
100	0.5289633687
101101	0.5338101765
102	0.5330952941
103	0.5320173729
104	0.5069084676
105	0.5055436198
106	0.5043234762
107	0.5032078044
108	0.501962382
109	0.5008749898
110	0.4995109049
111	0.4982646688
112	0.4971079508
113	0.4961723836
114	0.4954577637
115	0.4942862447
116	0.4932211304
117	0.5061361694
118	0.5055236816
119	0.5041637166
120	0.4892150879121	0.5019324239
122	0.5008419291
123	0.4999388123
124	0.4986879476
1125	0.4841607666126	0.49673762
127127	0.48212615128128	0.48122400129129	0.48003041130130	0.47904907131	0.4923276265
132	0.4913328044
133	0.4898608398
134	0.4888887533
135135	0.4749322513136	0.47339711513137	0.47224894213138	0.47135406413139	0.47072260514140	0.46968043014141	0.46885187714142	0.4678264364
143	0.4667443848
144	0.4658557129
145	0.4650549316
146	0.4637663778
147	0.4627207148	148	0.4616146149	149	0.46068150	0.150	0.4596271769
151	0.4590489705
152	0.4583153	0.4153	0.4575154	0.4154	0.4568155	0.155	0.4558255514
156	0.45511157	0.157	0.4542409261
158	0.4536091105
159	0.4527013143
160	0.4518809509
161	0.4510425822
162	0.4499086507
163	0.4488391113
164	0.4483210754
165	0.4475352987
166	0.4466106669
167	0.446020813
168	0.4452605693
169	0.4446680705
170	0.443770752
171	0.4433613078
172	0.4426433818
173	0.441174	0.45174	0.441175	0.45175	0.4404340108
176	0.43933019
177	0.438531901
178	0.4379647827
179	0.4371672567
180	0.436516215
181	0.4357961019
182	0.4350654093
183	0.4339736938
184	0.4332795207
185	0.4323881531
186	0.4317432187	187	0.4309806188	188	0.4302677189	189	0.4293762190	0.4422625224
191	0.4418495687
192	0.4413987732
193	193	0.4268206194	0.4404222616
195195	0.42533594196196	0.4247196919197	0.424065577198	0.4379187012
19199	0.42259587620200	0.42187296520201	0.4212717438
202	0.42039093020203	0.41951952620204	0.41864664720205	0.41808736120206	0.41747454320207	0.41688486720208	0.4161299642
209	0.4154287211
210	0.4146152242
211	0.4138460286
212	0.41332934213213	0.41287282214214	0.41207148215	0.4269239299
216	0.4261744944
217	0.4256918335
218	0.4249926503
219	0.4241977437
220	0.4235946147
221	0.4229652659
222	0.4222246552
223	0.4216168722
224	0.420635376
225	0.4199255625
226	0.419336853
227	0.4186496989
228	0.418050766
229	0229	0.401534230	230	0.4010041231	231	0.4003146232	232	0.3997780233	233	0.3991195234	234	0.3979675235	235	0.3975452169
236	0.3972516378
237	0.3969442749
238	0.3966157532
239	0.3960303243
240	0.3951996104
241	0.3948056539
242	0.3942847188
243	0.3932841492
244	0.3926935832
245	0.3920285034
246	0.3912197113
247	0.3905373637
248	0.3900796
249	0.3894336446
250	0.388705368
251	0.3880877177
252	0.3872845713
253	0.3869517008
254	0.3862534841
255	0.385666097
256	0.3853033702
257	0.3844049581
258	0.3839938354
259	0.3835202789
260	0.3832500203
261	0.3826858012
262	0.3819767253
263	0.3814836629
264	0.3811726888
265	0.3806496429
266	0.3802614339
267	0.3798813883
268	0.3791705831
269	0.3787256368
270	0.3782326253
271	0.3779505666
272	0.3772924805
273	0.3765859985
274	0.3761261241
275	0.3753162893
276	0.3747982025
277	0.3744374339
278	0.3741929118
279	0.3737699127
280	0.3732757314
281	0.3728692881
282	0.3725048065
283	0.3721588643
284	0.3718145243
285	0.371472168
286	0.3709398905
287	0.3705676778
288	0.3699878693
289	0.3694871267
290	0.368896789291	0.3827778117
292	0.3821457418
293	0.3818303426
294	0.3814430745
29295	0.366169077296	0.3805852
297	0.3801124573
298	0.3797495524
299	0.3791610718
300	0.3789425405
301	0.3779529317
302	0.3774873352
303	0.3772484843
304	0.3767404175
305	0.3763502502
306	0.3757449341
307	0.3749862417
308	0.3747080994
309	0.3744058736
310	0.3739257812
311	0.3736667887
312	0.372828776
313	0.3720177968
314	0.3714359029
315	0.3706892904
316	0.3702304077
317	0.3699296061
318	0.3695131938
319	0.3690181478
320	0.3683538818
321	0.3678833008
322	0.3677164205
323	0.3672355398
324	0.3667327372
325	0.3662795766
326	0.3658575439
327	0.3653925832
328	0.3650948588
329	0.3648558044
330	0.3643763987
331	0.3639894867
332	0.3636317698
333	0.3629803975
334	0.3623145549
335	0.3621691386
336	0.3615309906
337	0.3606617737
338	0.3599445343
339	0.3594652812
340	0.3585825602
341	0.3584496307
342	0.3579051717
343	0.3573738098
344	0.3569200134
345	0.3565529633
346	0.3562560018
347	0.355807368
348	0.3555915324
349	0.3551170095
350	0.3547482045
351	0.354462382
352	0.3539608256
353	0.3535543823
354	0.3533337148
355	0.3530277252
356	0.3525340271
357	0.3518882243
358	0.3512748464
359	0.3508032227
360	0.3501564789
361	0.3493898265
362	0.3489456177
363	0.3486538188
364	0.3484486898
365	0.3479321289
366	0.347842509
367	0.3474834951
3368	0.33354232793369	0.33333196
370	0.3329229736
371	0.3325179036
372	0.3319633484
373	0.3317499288
374	0.3312921651
375	0.3310492198
376	0.3307805888
377	0.3303435262
378	0.3300512695
379	0.3295878092
380	0.3291452535
381	0.3284947205
382	0.3281329854
383	0.3278353373
384	0.3274053955
385	0.3270148722
386	0.3268882243
387	0.3264645894
388	0.3259180196
389	0.3257707214
390	0.3253328959
391	0.3250460815
392	0.324763209
393	0.3243229167
394	0.3239828491
395	0.3237599945
396	0.323520813
397	0.3231299845
398	0.32244929
399	0.322081426
400	0.3215702311
401	0.3214008586
402	0.3210260264
403	0.3206548564
404	0.3203639221
405	0.3200735219
406	0.3197362773
407	0.3193691254
408	0.3189912415
409	0.3187360636
410	0.3182473246
411	0.3179439799
412	0.317673111
413	0.3174441783
414	0.3169868724
415	0.3165942891
416	0.3161930847
417	0.3158819071
418	0.3156641642
419	0.3153433228
420	0.3148784892
421	0.3145913188
422	0.3142927297
423	0.3138632456
424	0.3134075928
