iter	Passed	Remaining
0	1	1400
1	3	1769
2	6	2063
3	7	1888
4	10	2003
5	12	2108
6	15	2192
7	18	2262
8	19	2159
9	22	2206
10	23	2123
11	26	2145
12	28	2190
13	30	2137
14	33	2193
15	34	2135
16	37	2154
17	41	2270
18	43	2228
19	45	2242
20	48	2258
21	49	2221
22	54	2332
23	56	2303
24	59	2336
25	61	2320
26	63	2276
27	65	2279
28	67	2257
29	71	2295
30	72	2259
31	74	2262
32	78	2302
33	81	2316
34	82	2285
35	85	2284
36	87	2286
37	90	2300
38	92	2271
39	95	2299
40	97	2272
41	99	2279
42	102	2288
43	104	2262
44	107	2286
45	108	2260
46	111	2267
47	113	2255
48	116	2266
49	118	2252
50	121	2263
51	122	2241
52	126	2259
53	127	2239
54	130	2240
55	131	2218
56	134	2218
57	136	2215
58	138	2213
59	141	2218
60	147	2271
61	148	2253
62	151	2258
63	153	2243
64	156	2257
65	158	2239
66	160	2241
67	163	2241
68	166	2245
69	167	2228
70	170	2226
71	172	2222
72	174	2221
73	177	2224
74	179	2215
75	181	2201
76	183	2197
77	188	2232
78	190	2219
79	192	2215
80	193	2199
81	197	2208
82	203	2250
83	206	2248
84	207	2233
85	210	2232
86	212	2233
87	216	2238
88	217	2225
89	220	2233
90	222	2219
91	232	2297
92	234	2290
93	240	2322
94	242	2309
95	245	2309
96	246	2298
97	250	2304
98	251	2292
99	257	2314
100	258	2302
101	261	2306
102	263	2291
103	267	2302
104	270	2306
105	273	2303
106	274	2291
107	276	2287
108	279	2281
109	281	2277
110	283	2274
111	285	2262
112	287	2260
113	290	2255
114	292	2251
115	294	2242
116	296	2239
117	298	2231
118	300	2221
119	301	2214
120	304	2210
121	306	2206
122	308	2201
123	311	2198
124	313	2194
125	315	2187
126	317	2185
127	319	2179
128	322	2176
129	325	2178
130	326	2167
131	328	2163
132	332	2166
133	333	2157
134	335	2152
135	338	2149
136	340	2144
137	342	2142
138	344	2135
139	346	2131
140	350	2135
141	351	2126
142	354	2122
143	356	2118
144	358	2115
145	363	2126
146	366	2128
147	369	2125
148	370	2116
149	395	2241
150	396	2231
151	402	2245
152	426	2360
153	427	2349
154	430	2347
155	432	2342
156	437	2348
157	441	2353
158	444	2349
159	447	2347
160	448	2338
161	451	2333
162	453	2328
163	457	2331
164	459	2325
165	463	2329
166	464	2319
167	467	2317
168	470	2315
169	477	2329
170	479	2323
171	482	2320
172	485	2319
173	488	2317
174	492	2323
175	496	2325
176	499	2322
177	502	2322
178	504	2312
179	506	2307
180	512	2316
181	516	2323
182	520	2324
183	524	2323
184	527	2324
185	530	2322
186	539	2344
187	540	2335
188	552	2370
189	558	2380
190	566	2397
191	568	2391
192	573	2397
193	575	2389
194	578	2386
195	584	2398
196	592	2416
197	598	2422
198	602	2426
199	608	2433
200	614	2441
201	619	2447
202	624	2450
203	627	2448
204	629	2443
205	631	2435
206	635	2435
207	638	2432
208	640	2425
209	644	2423
210	647	2421
211	650	2417
212	652	2410
213	656	2410
214	658	2403
215	661	2401
216	663	2392
217	666	2390
218	668	2385
219	671	2379
220	674	2377
221	676	2371
222	678	2364
223	682	2364
224	684	2358
225	686	2351
226	689	2349
227	692	2344
228	694	2337
229	698	2338
230	701	2334
231	702	2326
232	705	2323
233	709	2322
234	711	2317
235	716	2318
236	718	2312
237	722	2312
238	724	2305
239	728	2305
240	729	2298
241	733	2297
242	735	2292
243	738	2288
244	740	2283
245	744	2283
246	746	2274
247	749	2273
248	751	2266
249	755	2265
250	758	2262
251	761	2259
252	762	2252
253	766	2252
254	769	2247
255	771	2241
256	774	2240
257	777	2234
258	779	2230
259	782	2226
260	784	2220
261	787	2219
262	789	2213
263	792	2208
264	795	2207
265	798	2204
266	801	2200
267	803	2193
268	808	2195
269	809	2189
270	812	2184
271	813	2176
272	815	2170
273	815	2162
274	817	2156
275	819	2150
276	820	2142
277	822	2137
278	824	2129
279	826	2124
280	826	2115
281	828	2109
282	829	2101
283	831	2096
284	832	2088
285	834	2083
286	835	2075
287	837	2069
288	839	2064
289	839	2056
290	840	2048
291	842	2043
292	845	2039
293	846	2031
294	848	2026
295	849	2019
296	850	2014
297	851	2006
298	853	2001
299	855	1996
