iter	Passed	Remaining
300	856	1989
301	859	1986
302	861	1981
303	862	1974
304	864	1969
305	865	1962
306	868	1960
307	869	1953
308	871	1948
309	872	1941
310	874	1936
311	876	1932
312	877	1925
313	879	1921
314	880	1914
315	883	1912
316	884	1905
317	886	1900
318	886	1893
319	888	1888
320	889	1882
321	891	1878
322	893	1873
323	895	1867
324	896	1862
325	897	1856
326	899	1851
327	900	1845
328	902	1841
329	903	1834
330	905	1830
331	907	1826
332	908	1820
333	910	1816
334	911	1809
335	917	1812
336	919	1809
337	925	1812
338	928	1809
339	932	1810
340	937	1811
341	940	1808
342	944	1809
343	948	1807
344	951	1805
345	954	1803
346	957	1802
347	961	1800
348	965	1800
349	968	1799
350	970	1794
351	973	1791
352	975	1788
353	977	1783
354	979	1779
355	982	1776
356	984	1773
357	986	1769
358	989	1766
359	991	1762
360	993	1758
361	995	1754
362	997	1750
363	999	1747
364	1002	1743
365	1004	1739
366	1006	1736
367	1008	1732
368	1011	1729
369	1013	1724
370	1015	1721
371	1018	1718
372	1020	1714
373	1022	1711
374	1024	1707
375	1026	1703
376	1028	1699
377	1030	1695
378	1035	1696
379	1039	1696
380	1042	1693
381	1045	1692
382	1050	1692
383	1051	1687
384	1060	1693
385	1062	1690
386	1065	1687
387	1068	1685
388	1072	1685
389	1076	1684
390	1080	1682
391	1083	1680
392	1086	1678
393	1090	1677
394	1096	1678
395	1098	1675
396	1103	1676
397	1106	1673
398	1109	1671
399	1113	1670
400	1118	1670
401	1120	1667
402	1124	1666
403	1127	1664
404	1131	1661
405	1134	1659
406	1137	1657
407	1140	1654
408	1141	1649
409	1142	1644
410	1143	1638
411	1144	1633
412	1146	1628
413	1146	1623
414	1148	1619
415	1149	1613
416	1150	1608
417	1151	1602
418	1152	1598
419	1153	1593
420	1154	1587
421	1155	1582
422	1156	1577
423	1157	1572
424	1158	1567
425	1160	1563
426	1161	1559
427	1165	1557
428	1167	1553
429	1169	1550
430	1172	1548
431	1175	1544
432	1178	1543
433	1180	1539
434	1184	1539
435	1186	1535
436	1190	1533
437	1192	1530
438	1196	1528
439	1198	1525
440	1200	1521
441	1204	1520
442	1206	1516
443	1210	1515
444	1212	1511
445	1216	1510
446	1217	1506
447	1221	1504
448	1223	1500
449	1227	1499
450	1228	1495
451	1232	1494
452	1234	1490
453	1235	1486
454	1237	1481
455	1238	1477
456	1239	1473
457	1240	1468
458	1242	1464
459	1243	1460
460	1245	1456
461	1247	1453
462	1249	1449
463	1250	1445
464	1252	1441
465	1254	1437
466	1257	1435
467	1260	1432
468	1262	1429
469	1265	1427
470	1268	1424
471	1270	1421
472	1273	1419
473	1277	1417
474	1279	1413
475	1282	1411
476	1283	1407
477	1285	1403
478	1286	1398
479	1288	1395
480	1289	1390
481	1290	1387
482	1299	1391
483	1300	1386
484	1304	1385
485	1314	1389
486	1315	1385
487	1316	1380
488	1317	1376
489	1317	1371
490	1319	1368
491	1326	1369
492	1329	1367
493	1335	1368
494	1338	1365
495	1342	1364
496	1351	1367
497	1352	1363
498	1353	1358
499	1354	1354
500	1369	1363
501	1372	1361
502	1378	1362
503	1385	1363
504	1391	1363
505	1392	1359
506	1393	1354
507	1394	1350
508	1395	1346
509	1398	1344
510	1399	1339
511	1404	1338
512	1410	1339
513	1414	1337
514	1416	1333
515	1425	1336
516	1428	1334
517	1434	1334
518	1438	1333
519	1441	1330
520	1443	1327
521	1446	1324
522	1449	1321
523	1451	1318
524	1456	1317
525	1457	1313
526	1462	1312
527	1464	1308
528	1465	1305
529	1469	1303
530	1471	1299
531	1473	1296
532	1475	1293
533	1479	1291
534	1482	1288
535	1484	1284
536	1486	1281
537	1488	1278
538	1491	1275
539	1494	1273
540	1496	1269
541	1499	1266
542	1501	1263
543	1506	1262
544	1511	1261
545	1512	1257
546	1513	1253
547	1513	1248
548	1514	1244
549	1515	1240
550	1516	1235
551	1517	1231
552	1518	1227
553	1518	1222
554	1519	1218
555	1520	1214
556	1521	1209
557	1522	1205
558	1522	1201
559	1523	1197
560	1524	1193
561	1525	1188
562	1526	1184
563	1527	1180
564	1534	1181
565	1536	1178
566	1538	1175
567	1544	1174
568	1547	1172
569	1549	1168
570	1551	1165
571	1553	1162
572	1554	1158
573	1555	1154
574	1563	1155
575	1565	1152
576	1571	1152
577	1577	1151
578	1580	1149
579	1583	1146
580	1586	1143
581	1591	1142
582	1593	1139
583	1596	1136
584	1600	1135
585	1605	1134
586	1607	1130
587	1608	1127
588	1612	1125
589	1619	1125
590	1621	1122
591	1626	1121
592	1628	1117
593	1633	1116
594	1637	1114
595	1640	1112
596	1644	1110
597	1648	1108
598	1650	1105
599	1654	1102
600	1656	1099
601	1659	1097
602	1661	1094
603	1663	1090
604	1665	1087
605	1668	1084
606	1670	1081
607	1673	1078
608	1674	1075
609	1676	1072
610	1679	1069
611	1682	1066
612	1683	1063
613	1686	1060
614	1688	1057
615	1691	1054
616	1693	1051
617	1695	1047
618	1697	1045
619	1700	1042
620	1702	1038
621	1704	1035
622	1706	1032
623	1709	1030
624	1711	1026
625	1713	1023
626	1715	1020
627	1717	1017
628	1720	1014
629	1721	1011
630	1724	1008
631	1726	1005
632	1728	1002
633	1732	1000
634	1735	997
635	1736	993
636	1738	990
637	1745	990
638	1746	986
639	1749	983
640	1751	980
641	1753	978
642	1756	975
643	1758	972
644	1760	969
645	1764	966
646	1767	964
647	1769	961
648	1772	958
649	1776	956
650	1778	953
651	1783	951
652	1785	948
653	1789	946
654	1791	943
655	1793	940
656	1796	938
657	1798	934
658	1801	931
659	1803	928
660	1805	925
661	1806	922
662	1807	918
663	1808	915
664	1809	911
665	1810	908
666	1812	904
667	1813	901
668	1815	898
669	1816	894
670	1816	890
671	1818	887
672	1819	883
673	1820	880
674	1821	876
675	1822	873
676	1823	869
677	1824	866
678	1825	863
679	1826	859
680	1828	856
681	1828	852
682	1830	849
683	1831	845
684	1832	842
685	1833	839
686	1834	835
687	1835	832
688	1836	829
689	1837	825
690	1838	822
691	1839	818
692	1840	815
693	1842	812
694	1843	809
695	1844	805
696	1845	802
697	1846	799
698	1848	795
699	1849	792
700	1850	789
701	1851	785
702	1852	782
703	1853	779
704	1854	776
705	1856	773
706	1857	769
707	1858	766
708	1859	763
709	1860	759
710	1861	756
711	1862	753
712	1866	751
713	1868	748
714	1868	744
715	1870	741
716	1871	738
717	1872	735
718	1873	732
719	1875	729
720	1876	725
721	1877	722
722	1878	719
723	1879	716
724	1880	713
725	1881	710
726	1882	707
727	1884	704
728	1886	701
729	1887	698
730	1888	694
731	1889	691
732	1890	688
733	1891	685
734	1893	682
735	1893	679
736	1895	676
737	1896	673
738	1897	670
739	1898	667
740	1899	664
741	1901	661
742	1902	658
743	1903	654
744	1904	651
745	1905	648
746	1906	645
747	1907	642
748	1908	639
749	1909	636
750	1911	633
751	1913	631
752	1914	627
753	1915	624
754	1916	622
755	1917	619
756	1918	615
757	1920	613
758	1921	610
759	1922	607
760	1923	604
761	1924	601
762	1925	598
763	1926	595
764	1927	592
765	1928	589
766	1929	586
767	1930	583
768	1931	580
769	1932	577
770	1934	574
771	1934	571
772	1935	568
773	1936	565
774	1937	562
775	1938	559
776	1939	556
777	1940	553
778	1941	550
779	1942	547
780	1943	544
781	1944	541
782	1945	539
783	1945	536
784	1946	533
785	1947	530
786	1948	527
787	1949	524
788	1950	521
789	1951	518
790	1952	515
791	1953	513
792	1954	510
793	1955	507
794	1956	504
795	1957	501
796	1958	498
797	1959	495
798	1960	493
799	1961	490
800	1963	487
801	1964	484
802	1965	482
803	1966	479
804	1967	476
805	1968	473
806	1969	470
807	1970	468
808	1971	465
809	1972	462
810	1972	459
811	1973	457
812	1975	454
813	1976	451
814	1977	448
815	1979	446
816	1980	443
817	1981	440
818	1982	438
819	1983	435
820	1985	432
821	1986	430
822	1986	427
823	1987	424
824	1988	421
825	1989	419
826	1990	416
827	1991	413
828	1992	411
829	1994	408
830	1995	405
831	1996	403
832	1997	400
833	1998	397
834	1999	395
835	2000	392
836	2001	389
837	2002	387
838	2003	384
839	2004	381
840	2005	379
841	2006	376
842	2008	373
843	2009	371
844	2010	368
845	2011	366
846	2012	363
847	2013	360
848	2014	358
849	2015	355
850	2016	353
851	2017	350
852	2018	347
853	2019	345
854	2020	342
855	2021	340
856	2022	337
857	2023	334
858	2024	332
859	2025	329
860	2026	327
861	2027	324
862	2028	322
863	2030	319
864	2030	316
865	2031	314
866	2033	311
867	2034	309
868	2035	306
869	2036	304
870	2037	301
871	2038	299
872	2039	296
873	2040	294
874	2042	291
875	2042	289
876	2044	286
877	2049	284
878	2050	282
879	2051	279
880	2052	277
881	2052	274
882	2054	272
883	2055	269
884	2055	267
885	2056	264
886	2058	262
887	2059	259
888	2060	257
889	2061	254
890	2062	252
891	2063	249
892	2064	247
893	2065	244
894	2065	242
895	2067	239
896	2067	237
897	2069	235
898	2070	232
899	2071	230
900	2072	227
901	2073	225
902	2074	222
903	2075	220
904	2076	217
905	2077	215
906	2078	213
907	2079	210
908	2080	208
909	2081	205
910	2082	203
911	2083	201
912	2084	198
913	2085	196
914	2086	193
915	2087	191
916	2089	189
917	2090	186
918	2091	184
919	2092	181
920	2094	179
921	2095	177
922	2100	175
923	2101	172
924	2102	170
925	2103	168
926	2104	165
927	2105	163
928	2106	160
929	2107	158
930	2108	156
931	2109	153
932	2109	151
933	2110	149
934	2111	146
935	2112	144
936	2113	142
937	2114	139
938	2115	137
939	2116	135
940	2117	132
941	2118	130
942	2119	128
943	2120	125
944	2121	123
945	2124	121
946	2126	119
947	2129	116
948	2131	114
949	2132	112
950	2133	109
951	2134	107
952	2135	105
953	2136	103
954	2137	100
955	2138	98
956	2139	96
957	2140	93
958	2140	91
959	2141	89
960	2142	86
961	2143	84
962	2144	82
963	2145	80
964	2146	77
965	2147	75
966	2148	73
967	2149	71
968	2150	68
969	2151	66
970	2152	64
971	2152	62
972	2153	59
973	2154	57
974	2155	55
975	2156	53
976	2157	50
977	2158	48
978	2159	46
979	2161	44
980	2162	41
981	2163	39
982	2164	37
983	2165	35
984	2166	32
985	2167	30
986	2168	28
987	2169	26
988	2170	24
989	2171	21
990	2172	19
991	2173	17
992	2173	15
993	2174	13
994	2175	10
995	2176	8
996	2177	6
997	2178	4
998	2179	2
999	2180	0
